"backers_count","blurb","categoryId","categoryName","categorySlug","converted_pledged_amount","country","country_displayable_name","created_at","created_at_formatted","creatorAvatar","creatorId","creatorName","creatorUrl","currency","currency_symbol","currency_trailing_code","current_currency","deadline","description","disable_communication","fx_rate","goal","id","is_starrable","launched_at","launched_at_formatted","link","locationId","locationName","name","photo","pledged","pubDate","slug","spotlight","staff_pick","state","state_changed_at","static_usd_rate","title","url","usd_exchange_rate","usd_pledged","usd_type"
"1583","Ultra-lightweight and pocket-sized, Spectrum is the best companion for on-the-go massage therapy.","337","Gadgets","technology/gadgets","126035","CA","Canada","1600841396","Wed, 23 Sep 2020 06:09:56 +0000","https://ksr-ugc.imgix.net/assets/025/994/129/b15451b39beb5d919e8562d30ca7074e_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1566198653&auto=format&frame=1&q=92&s=084311a27d27c62db3882210ff9dcd02","794565762","PolarYak","https://www.kickstarter.com/profile/polaryak","CAD","$","true","USD","1605009600","Ultra-lightweight and pocket-sized, Spectrum is the best companion for on-the-go massage therapy.","false","0.78291676","10000","1810420951","false","1602590279","Tue, 13 Oct 2020 11:57:59 +0000","https://www.kickstarter.com/projects/polaryak/spectrum-the-smallest-portable-massage-gun-ever-invented?ref=discovery_newest","4118","Toronto, Canada","Spectrum – Total On-the-Go Body Relief",,"163924.29","Tue, 13 Oct 2020 11:57:59 +0000","spectrum-the-smallest-portable-massage-gun-ever-invented","true","false","successful","1605009601","0.76148297","Spectrum – Total On-the-Go Body Relief","https://www.kickstarter.com/projects/polaryak/spectrum-the-smallest-portable-massage-gun-ever-invented?ref=discovery_newest","0.76886408","124825.5552043413","domestic"
"520","A POCKET-SIZED STAND with adjustable height and unlimited angles. Offering maximum productivity and comfort. Patented design.","337","Gadgets","technology/gadgets","40431","US","the United States","1600331772","Thu, 17 Sep 2020 08:36:12 +0000","https://ksr-ugc.imgix.net/assets/027/130/277/ed36a33f96203dea8a8938a0204d20c1_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1573128376&auto=format&frame=1&q=92&s=7de46f384423484512266e14f9b17ce8","1121518639","LOOK#","https://www.kickstarter.com/profile/lookstand","USD","$","true","USD","1605974402","A POCKET-SIZED STAND with adjustable height and unlimited angles. Offering maximum productivity and comfort. Patented design.","false","1","5000","792408317","false","1602082802","Wed, 07 Oct 2020 15:00:02 +0000","https://www.kickstarter.com/projects/lookstand/worlds-tallest-pocket-sized-phonestand?ref=discovery_newest","2442047","Los Angeles, CA","LOOKSTAND: Tallest Transforming Phone/Tablet Stand",,"40431","Wed, 07 Oct 2020 15:00:02 +0000","worlds-tallest-pocket-sized-phonestand","true","false","successful","1605974402","1","LOOKSTAND: Tallest Transforming Phone/Tablet Stand","https://www.kickstarter.com/projects/lookstand/worlds-tallest-pocket-sized-phonestand?ref=discovery_newest","1","40431.0","domestic"
"148","The AtlasBIOvib is the first handheld vibration device designed specifically for the muscles at the top of your neck.","337","Gadgets","technology/gadgets","22468","US","the United States","1595698327","Sat, 25 Jul 2020 17:32:07 +0000","https://ksr-ugc.imgix.net/assets/030/749/047/36cb38f0b4fa190893ca7fb142c6bfda_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1601056876&auto=format&frame=1&q=92&s=977548a42618e3ecc629bbdff2083711","627082245","Ashley Twynam","https://www.kickstarter.com/profile/atlasbiovib","USD","$","true","USD","1604592660","The AtlasBIOvib is the first handheld vibration device designed specifically for the muscles at the top of your neck.","false","1","10000","1009349970","false","1601996402","Tue, 06 Oct 2020 15:00:02 +0000","https://www.kickstarter.com/projects/atlasbiovib/atlasbiovib?ref=discovery_newest","2462553","Nutley, NJ","The AtlasBIOvib: Bringing your health back into your hands!",,"22468","Tue, 06 Oct 2020 15:00:02 +0000","atlasbiovib","true","false","successful","1604592660","1","The AtlasBIOvib: Bringing your health back into your hands!","https://www.kickstarter.com/projects/atlasbiovib/atlasbiovib?ref=discovery_newest","1","22468.0","domestic"
"267","Connect and spin to create oddly satisfying kinetic creations. From the classroom to the board room, Sprocks connect us all. USA made.","337","Gadgets","technology/gadgets","15398","US","the United States","1599407055","Sun, 06 Sep 2020 15:44:15 +0000","https://ksr-ugc.imgix.net/assets/030/493/871/d9f73db6cb79d6ae385e4068335b7aa4_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1599405417&auto=format&frame=1&q=92&s=d718c25b93a568f0cc6b391e22acd4ea","163266196","Matt Hatcher","https://www.kickstarter.com/profile/sprocksgears","USD","$","true","USD","1604588471","Connect and spin to create oddly satisfying kinetic creations. From the classroom to the board room, Sprocks connect us all. USA made.","false","1","4000","1724022583","false","1601992871","Tue, 06 Oct 2020 14:01:11 +0000","https://www.kickstarter.com/projects/sprocksgears/sprockstm-kickstarters-first-magnetic-gears-fun-for-all?ref=discovery_newest","2383660","Columbus, OH","Sprocks | Magnetic Gears for the kid in all of us.",,"15398","Tue, 06 Oct 2020 14:01:11 +0000","sprockstm-kickstarters-first-magnetic-gears-fun-for-all","true","false","successful","1604588526","1","Sprocks | Magnetic Gears for the kid in all of us.","https://www.kickstarter.com/projects/sprocksgears/sprockstm-kickstarters-first-magnetic-gears-fun-for-all?ref=discovery_newest","1","15398.0","domestic"
"156","30 days real-world battery life, works indoors and outdoors, affordable 
for Pet, Kids, elderly or asset (GPS location tracker)","337","Gadgets","technology/gadgets","37165","SG","Singapore","1599553370","Tue, 08 Sep 2020 08:22:50 +0000","https://ksr-ugc.imgix.net/assets/030/700/105/2f2d39f4699a4500775bc4b3ae450c33_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1600784930&auto=format&frame=1&q=92&s=8b0717376129eeb4789009850c2c166a","28205735","TackOne","https://www.kickstarter.com/profile/tackone","SGD","$","true","USD","1604584813","30 days real-world battery life, works indoors and outdoors, affordable 
for Pet, Kids, elderly or asset (GPS location tracker)","false","0.73528601","50000","664404603","false","1601992813","Tue, 06 Oct 2020 14:00:13 +0000","https://www.kickstarter.com/projects/tackone/tack-gps-the-future-of-location-tracking?ref=discovery_newest","1062617","Singapore, Singapore","Tack GPS - The Future of Location Tracking",,"50521.99","Tue, 06 Oct 2020 14:00:13 +0000","tack-gps-the-future-of-location-tracking","true","false","successful","1604584814","0.73404354","Tack GPS - The Future of Location Tracking","https://www.kickstarter.com/projects/tackone/tack-gps-the-future-of-location-tracking?ref=discovery_newest","0.73563056","37085.3403874446","domestic"
"103","✓3xUSB-C 1xUSB-A ✓GaN(Gallium Nitride) technology ✓Multiple-device-chargeable ✓65W of output ✓Supports 20Wx3 output ✓Egg size","337","Gadgets","technology/gadgets","6903","JP","Japan","1598245791","Mon, 24 Aug 2020 05:09:51 +0000","https://ksr-ugc.imgix.net/assets/027/161/716/b4172c8441b22bc0272e8bde46133647_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1627479950&auto=format&frame=1&q=92&s=fb379d0900f2f8074da281c3e54fb400","1035914285","CIO Co., Ltd.","https://www.kickstarter.com/profile/ciojapan","JPY","¥","false","USD","1604584820","✓3xUSB-C 1xUSB-A ✓GaN(Gallium Nitride) technology ✓Multiple-device-chargeable ✓65W of output ✓Supports 20Wx3 output ✓Egg size","false","0.00910181","300000","327041880","false","1601989220","Tue, 06 Oct 2020 13:00:20 +0000","https://www.kickstarter.com/projects/ciojapan/swift-charge-worlds-smallest-4-in-1-gan-wall-charger?ref=discovery_newest","28457204","Osaka, Japan","Swift Charge: World's Smallest 4 in 1 GaN Wall Charger",,"719989","Tue, 06 Oct 2020 13:00:20 +0000","swift-charge-worlds-smallest-4-in-1-gan-wall-charger","true","false","successful","1604584820","0.00947609","Swift Charge: World's Smallest 4 in 1 GaN Wall Charger","https://www.kickstarter.com/projects/ciojapan/swift-charge-worlds-smallest-4-in-1-gan-wall-charger?ref=discovery_newest","0.00958833","6822.68056301","domestic"
"296","Your paper book and document are online NOW！You can easily google, translate or even copy any paper based content.","337","Gadgets","technology/gadgets","34561","AU","Australia","1597557882","Sun, 16 Aug 2020 06:04:42 +0000","https://ksr-ugc.imgix.net/assets/030/682/288/5e99d11dbf19ecbfc8cac61173c50c20_original.jpeg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1600748932&auto=format&frame=1&q=92&s=6d08aa8557eb8688ced58385e8de981f","183129366","Yiida.AI","https://www.kickstarter.com/profile/googstick","AUD","$","true","USD","1608574569","Your paper book and document are online NOW！You can easily google, translate or even copy any paper based content.","false","0.71611026","15000","580168744","false","1601746239","Sat, 03 Oct 2020 17:30:39 +0000","https://www.kickstarter.com/projects/googstick/Yiida-stick-a-whole-new-way-of-reading?ref=discovery_newest","1103816","Melbourne, AU","Yiida stick: A Whole New Way of Reading",,"45660.32","Sat, 03 Oct 2020 17:30:39 +0000","Yiida-stick-a-whole-new-way-of-reading","true","true","successful","1608574569","0.71592518","Yiida stick: A Whole New Way of Reading","https://www.kickstarter.com/projects/googstick/Yiida-stick-a-whole-new-way-of-reading?ref=discovery_newest","0.75692492","32689.3728148576","domestic"
"4248","The webcam light built to make you look amazing.","337","Gadgets","technology/gadgets","689104","US","the United States","1590770977","Fri, 29 May 2020 16:49:37 +0000","https://ksr-ugc.imgix.net/assets/018/095/867/828dbc55e8ecf4cd9276354ab4fd9126_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1593789352&auto=format&frame=1&q=92&s=5dfb9e0d8d711f9248b84c579ff7b96e","341336269","Logan Bailey","https://www.kickstarter.com/profile/amplt","USD","$","true","USD","1604073427","The webcam light built to make you look amazing.","false","1","20000","63490614","false","1601481427","Wed, 30 Sep 2020 15:57:07 +0000","https://www.kickstarter.com/projects/amplt/the-amp-light-mountable-edge-lit-webcam-light?ref=discovery_newest","2466151","Orem, UT","The Amp Light - Mountable Edge-Lit Webcam Light",,"689104","Wed, 30 Sep 2020 15:57:07 +0000","the-amp-light-mountable-edge-lit-webcam-light","true","false","successful","1604073427","1","The Amp Light - Mountable Edge-Lit Webcam Light","https://www.kickstarter.com/projects/amplt/the-amp-light-mountable-edge-lit-webcam-light?ref=discovery_newest","1","689104.0","domestic"
"143","60W USB-C PD｜Pocket Size｜Charge 6 Devices｜World-Wide Compatibility｜Fast Charge","337","Gadgets","technology/gadgets","6229","HK","Hong Kong","1600757382","Tue, 22 Sep 2020 06:49:42 +0000","https://ksr-ugc.imgix.net/assets/030/710/117/4703c3d506fc04bf9a1a7ed4a78f6088_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1600832709&auto=format&frame=1&q=92&s=2bf5fd6c2ccf5994b8c09a7c084fbfed","1494828832","WorldPlug","https://www.kickstarter.com/profile/worldplug","HKD","$","true","USD","1603988208","60W USB-C PD｜Pocket Size｜Charge 6 Devices｜World-Wide Compatibility｜Fast Charge","false","0.12837951","3000","1958796705","false","1601396208","Tue, 29 Sep 2020 16:16:48 +0000","https://www.kickstarter.com/projects/worldplug/the-worlds-smallest-60w-home-and-travel-adapter?ref=discovery_newest","2165352","Hong Kong, Hong Kong","The World's Smallest 60W Home & Travel Adapter",,"48302","Tue, 29 Sep 2020 16:16:48 +0000","the-worlds-smallest-60w-home-and-travel-adapter","true","false","successful","1603988208","0.1290281","The World's Smallest 60W Home & Travel Adapter","https://www.kickstarter.com/projects/worldplug/the-worlds-smallest-60w-home-and-travel-adapter?ref=discovery_newest","0.12897303","6232.3152862","international"
"249","Transform your favorite botanic ingredients into essential oils, spirits, and more, experimentation has never been easier.","337","Gadgets","technology/gadgets","100826","US","the United States","1596649907","Wed, 05 Aug 2020 17:51:47 +0000","https://ksr-ugc.imgix.net/assets/030/083/003/1c0c8153194e39abc66d463fea038ca8_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1596647125&auto=format&frame=1&q=92&s=3fd6d575c00c52115be8f99742235ea0","1607616122","Spirit Hunter","https://www.kickstarter.com/profile/spirithunter","USD","$","true","USD","1605282877","Transform your favorite botanic ingredients into essential oils, spirits, and more, experimentation has never been easier.","false","1","17600","165864085","false","1601391277","Tue, 29 Sep 2020 14:54:37 +0000","https://www.kickstarter.com/projects/spirithunter/the-easy-distiller-extraction-and-infusion-at-home?ref=discovery_newest","2442047","Los Angeles, CA","The Easy Distiller: Craft essential oils and spirits at home",,"100826","Tue, 29 Sep 2020 14:54:37 +0000","the-easy-distiller-extraction-and-infusion-at-home","true","false","successful","1605282877","1","The Easy Distiller: Craft essential oils and spirits at home","https://www.kickstarter.com/projects/spirithunter/the-easy-distiller-extraction-and-infusion-at-home?ref=discovery_newest","1","100826.0","international"
"372","Instantly apply animated, sound-reactive effects, moods and movie looks from your phone or dmx art-net devices.","337","Gadgets","technology/gadgets","163165","CA","Canada","1597892471","Thu, 20 Aug 2020 03:01:11 +0000","https://ksr-ugc.imgix.net/assets/030/508/427/7c76e367828192c92fc71f9c6f3f7e06_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1599510115&auto=format&frame=1&q=92&s=1e88cd0887209ca8aeb43770225c00fc","1392119730","TEKE TECH","https://www.kickstarter.com/profile/teketech","CAD","$","true","USD","1604411763","Instantly apply animated, sound-reactive effects, moods and movie looks from your phone or dmx art-net devices.","false","0.78291676","8000","556608784","false","1601384163","Tue, 29 Sep 2020 12:56:03 +0000","https://www.kickstarter.com/projects/teketech/teke-hollywood-dmx-lighting-in-the-palm-of-your-hand?ref=discovery_newest","4118","Toronto, Canada","TEKE: Wireless DMX RGBW Lighting For Photo & Video Creators",,"217759.29","Tue, 29 Sep 2020 12:56:03 +0000","teke-hollywood-dmx-lighting-in-the-palm-of-your-hand","true","false","successful","1604412984","0.74743052","TEKE: Wireless DMX RGBW Lighting For Photo & Video Creators","https://www.kickstarter.com/projects/teketech/teke-hollywood-dmx-lighting-in-the-palm-of-your-hand?ref=discovery_newest","0.74929211","162759.9393595308","international"
"106","Latest GaN Technology, PD 60W, 4K@60Hz, 2×USB 3.0 Data & Charging, Dual Model USB-C Power HUB for Macbook,iPad Pro, and Smartphone.","337","Gadgets","technology/gadgets","6630","HK","Hong Kong","1600076350","Mon, 14 Sep 2020 09:39:10 +0000","https://ksr-ugc.imgix.net/assets/030/590/390/f2ea1fb1aa873e74701f1fccacdbebe0_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1600076150&auto=format&frame=1&q=92&s=f0efbf1011f9953fcc0a227b0d93c5db","1271335619","Erkapo","https://www.kickstarter.com/profile/erkapo","HKD","$","true","USD","1604408402","Latest GaN Technology, PD 60W, 4K@60Hz, 2×USB 3.0 Data & Charging, Dual Model USB-C Power HUB for Macbook,iPad Pro, and Smartphone.","false","0.12837951","20000","1702960405","false","1601380802","Tue, 29 Sep 2020 12:00:02 +0000","https://www.kickstarter.com/projects/erkapo/erkapo-the-most-powerful-all-in-one-60w-gan-usb-c-and-hub?ref=discovery_newest","2165352","Hong Kong, Hong Kong","Erkapo: World's First USB-C HDMI HUB with GaN 60W Charger",,"51413","Tue, 29 Sep 2020 12:00:02 +0000","erkapo-the-most-powerful-all-in-one-60w-gan-usb-c-and-hub","true","false","successful","1604412984","0.1290281","Erkapo: World's First USB-C HDMI HUB with GaN 60W Charger","https://www.kickstarter.com/projects/erkapo/erkapo-the-most-powerful-all-in-one-60w-gan-usb-c-and-hub?ref=discovery_newest","0.12895871","6633.7217053","international"
"219","Connect the worlds of LEGO and Micro:Bit!","337","Gadgets","technology/gadgets","18761","US","the United States","1600016906","Sun, 13 Sep 2020 17:08:26 +0000","https://ksr-ugc.imgix.net/assets/006/656/240/cc862e8d96d92b94c06f2587c0157aaf_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1461402759&auto=format&frame=1&q=92&s=a25dc8c21ef6031429009d5fb8a969ee","54255162","Brown Dog Gadgets","https://www.kickstarter.com/profile/browndoggadgets","USD","$","true","USD","1603465200","Connect the worlds of LEGO and Micro:Bit!","false","1","2000","873387843","false","1600966806","Thu, 24 Sep 2020 17:00:06 +0000","https://www.kickstarter.com/projects/browndoggadgets/bit-board?ref=discovery_newest","2451822","Milwaukee, WI","Bit Board - LEGO and Micro:Bit Combined",,"18761","Thu, 24 Sep 2020 17:00:06 +0000","bit-board","true","false","successful","1603465200","1","Bit Board - LEGO and Micro:Bit Combined","https://www.kickstarter.com/projects/browndoggadgets/bit-board?ref=discovery_newest","1","18761.0","international"
"1878","A stylish, cork-wrapped dual warming device for cold hands and mobile power bank. Up to 8+ hrs of warmth or 1.5+ mobile charges.","337","Gadgets","technology/gadgets","161599","US","the United States","1597173821","Tue, 11 Aug 2020 19:23:41 +0000","https://ksr-ugc.imgix.net/assets/010/127/041/0a3c3c77c259d8261b979df19e63d1f0_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1478299288&auto=format&frame=1&q=92&s=93fe6e9d2faa51e7fb6227e2dc1dca53","979999661","Ravean Team","https://www.kickstarter.com/profile/ravean","USD","$","true","USD","1603486800","A stylish, cork-wrapped dual warming device for cold hands and mobile power bank. Up to 8+ hrs of warmth or 1.5+ mobile charges.","false","1","20000","270759158","false","1600874809","Wed, 23 Sep 2020 15:26:49 +0000","https://www.kickstarter.com/projects/ravean/ravean-electric-hand-warmers?ref=discovery_newest","2487610","Salt Lake City, UT","Ravean Electric Hand Warmers",,"161599","Wed, 23 Sep 2020 15:26:49 +0000","ravean-electric-hand-warmers","true","false","successful","1603486800","1","Ravean Electric Hand Warmers","https://www.kickstarter.com/projects/ravean/ravean-electric-hand-warmers?ref=discovery_newest","1","161599.0","international"
"555","Motorize the window blinds and shades you already own. Control them with Alexa, Google Home, and Siri + HomeKit.","337","Gadgets","technology/gadgets","176142","US","the United States","1597088895","Mon, 10 Aug 2020 19:48:15 +0000","https://ksr-ugc.imgix.net/assets/030/464/012/78893ea7e26052f60bf15bb738b0261f_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1599163490&auto=format&frame=1&q=92&s=8b4c18c0a29431fefa15ae3d52c7fa28","776269714","Trung Pham","https://www.kickstarter.com/profile/ryse-smartshades","USD","$","true","USD","1603458009","Motorize the window blinds and shades you already own. Control them with Alexa, Google Home, and Siri + HomeKit.","false","1","10000","1299002261","false","1600866009","Wed, 23 Sep 2020 13:00:09 +0000","https://www.kickstarter.com/projects/ryse-smartshades/ryse-smartshades-motorize-your-existing-window-shades?ref=discovery_newest","4118","Toronto, Canada","RYSE SmartShades | Motorize your existing window shades",,"176142","Wed, 23 Sep 2020 13:00:09 +0000","ryse-smartshades-motorize-your-existing-window-shades","true","false","successful","1603458009","1","RYSE SmartShades | Motorize your existing window shades","https://www.kickstarter.com/projects/ryse-smartshades/ryse-smartshades-motorize-your-existing-window-shades?ref=discovery_newest","1","176142.0","international"
"182","Don't ever forget to take your medication","337","Gadgets","technology/gadgets","13518","US","the United States","1597353806","Thu, 13 Aug 2020 21:23:26 +0000","https://ksr-ugc.imgix.net/assets/030/254/412/47448bdb3c5877065a1ddef676a6c593_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1597818155&auto=format&frame=1&q=92&s=bd7562d664ed34b940af5bf143a6e1aa","150333969","DEFI: Don't Ever Forget It","https://www.kickstarter.com/profile/150333969","USD","$","true","USD","1603378857","Don't ever forget to take your medication","false","1","5000","414151240","false","1600786857","Tue, 22 Sep 2020 15:00:57 +0000","https://www.kickstarter.com/projects/150333969/defi-iot-smart-pillbox?ref=discovery_newest","2487956","San Francisco, CA","DEFI IoT Smart Pillbox: Portable, Reminder, Track your pills",,"13518","Tue, 22 Sep 2020 15:00:57 +0000","defi-iot-smart-pillbox","true","false","successful","1603378857","1","DEFI IoT Smart Pillbox: Portable, Reminder, Track your pills","https://www.kickstarter.com/projects/150333969/defi-iot-smart-pillbox?ref=discovery_newest","1","13518.0","international"
"2017","An essential winter purchase, helping you and your family to start dead batteries","337","Gadgets","technology/gadgets","370014","US","the United States","1599843197","Fri, 11 Sep 2020 16:53:17 +0000","https://ksr-ugc.imgix.net/assets/030/591/987/2a7bc98015981981fc9aef244e547c38_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1600087064&auto=format&frame=1&q=92&s=7b27313fccdcfeafd4b856cc0575410b","756023856","HULKMAN TECH","https://www.kickstarter.com/profile/hulkmantech","USD","$","true","USD","1604116740","An essential winter purchase, helping you and your family to start dead batteries","false","1","5000","1211257537","false","1600783210","Tue, 22 Sep 2020 14:00:10 +0000","https://www.kickstarter.com/projects/hulkmantech/the-worlds-1-smart-jump-starter-0?ref=discovery_newest","2467861","Palo Alto, CA","The World’s #1 Smart Jump Starter",,"370014","Tue, 22 Sep 2020 14:00:10 +0000","the-worlds-1-smart-jump-starter-0","true","false","successful","1604116741","1","The World’s #1 Smart Jump Starter","https://www.kickstarter.com/projects/hulkmantech/the-worlds-1-smart-jump-starter-0?ref=discovery_newest","1","370014.0","international"
"1048","Groundbreaking design to fast charge Apple Watch, AirPods, iPhone, iPad with Apple Pencil Storage anywhere & anytime!","337","Gadgets","technology/gadgets","136861","HK","Hong Kong","1599473828","Mon, 07 Sep 2020 10:17:08 +0000","https://ksr-ugc.imgix.net/assets/030/531/803/59f961e008b4f7567222d5c5e3ac596c_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1599648916&auto=format&frame=1&q=92&s=003db8b595a20201c8ca294b64cd2968","1563051246","MOMAX Airbox","https://www.kickstarter.com/profile/momax","HKD","$","true","USD","1603461023","Groundbreaking design to fast charge Apple Watch, AirPods, iPhone, iPad with Apple Pencil Storage anywhere & anytime!","false","0.12837951","40000","1237943604","false","1600782623","Tue, 22 Sep 2020 13:50:23 +0000","https://www.kickstarter.com/projects/momax/airbox-worlds-first-true-wireless-power-bank-for-apple?ref=discovery_newest","2165352","Hong Kong, Hong Kong","Airbox: World’s First True Wireless Power Bank For Apple",,"1060763","Tue, 22 Sep 2020 13:50:23 +0000","airbox-worlds-first-true-wireless-power-bank-for-apple","true","false","successful","1603461023","0.12902976","Airbox: World’s First True Wireless Power Bank For Apple","https://www.kickstarter.com/projects/momax/airbox-worlds-first-true-wireless-power-bank-for-apple?ref=discovery_newest","0.12902144","136869.99530688","international"
"273","Water Purifier | Powerful flashlight | Integrated power bank | Patent pending","337","Gadgets","technology/gadgets","21502","IT","Italy","1596812786","Fri, 07 Aug 2020 15:06:26 +0000","https://ksr-ugc.imgix.net/assets/010/744/693/1c485745bb13cb672a5128785bdfb39c_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1546438678&auto=format&frame=1&q=92&s=c3ed1212ac2327e1c6317487e2de8bd3","1886315350","idea3Di","https://www.kickstarter.com/profile/idea3di","EUR","€","false","USD","1603296073","Water Purifier | Powerful flashlight | Integrated power bank | Patent pending","false","1.17203066","14000","1475229137","false","1600704073","Mon, 21 Sep 2020 16:01:13 +0000","https://www.kickstarter.com/projects/idea3di/iuvi-uv-c-water-purifying-smart-bottle?ref=discovery_newest","721943","Rome, Italy","iUVi Water Purifying Smart Bottle",,"18150","Mon, 21 Sep 2020 16:01:13 +0000","iuvi-uv-c-water-purifying-smart-bottle","true","false","successful","1603296073","1.18396999","iUVi Water Purifying Smart Bottle","https://www.kickstarter.com/projects/idea3di/iuvi-uv-c-water-purifying-smart-bottle?ref=discovery_newest","1.18469095","21489.0553185","international"
"306","Record & transcribe hours of audio to text in minutes | Instant text, voice, photo translation in 104 languages | WiFi hotspot w/ eSIM","337","Gadgets","technology/gadgets","98459","US","the United States","1598429452","Wed, 26 Aug 2020 08:10:52 +0000","https://ksr-ugc.imgix.net/assets/030/544/123/41104bde88b9fefeca70b87cdd2c6357_original.jpg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1600332980&auto=format&frame=1&q=92&s=b6556726af47547f02d66b802363544c","1697175112","Langogo","https://www.kickstarter.com/profile/1697175112","USD","$","true","USD","1603371695","Record & transcribe hours of audio to text in minutes | Instant text, voice, photo translation in 104 languages | WiFi hotspot w/ eSIM","false","1","6000","663340514","false","1600693295","Mon, 21 Sep 2020 13:01:35 +0000","https://www.kickstarter.com/projects/1697175112/langogo-record-transcribe-translate-speech-w-global-wifi?ref=discovery_newest","2521358","Wilmington, DE","Langogo: Record, Transcribe, Translate Speech w/ Global WiFi",,"98459","Mon, 21 Sep 2020 13:01:35 +0000","langogo-record-transcribe-translate-speech-w-global-wifi","true","false","successful","1603371761","1","Langogo: Record, Transcribe, Translate Speech w/ Global WiFi","https://www.kickstarter.com/projects/1697175112/langogo-record-transcribe-translate-speech-w-global-wifi?ref=discovery_newest","1","98459.0","international"
"264","An infinitely reusable phone holder that securely attaches to your vehicle by powerful magnets","337","Gadgets","technology/gadgets","17033","US","the United States","1597797525","Wed, 19 Aug 2020 00:38:45 +0000","https://ksr-ugc.imgix.net/assets/029/049/357/032724be95311be2953f44e9a4863ffd_original.png?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1589247645&auto=format&frame=1&q=92&s=b00097d2c3c325dbcf97a1d46033807b","1593531475","Zesh","https://www.kickstarter.com/profile/zesh","USD","$","true","USD","1602849650","An infinitely reusable phone holder that securely attaches to your vehicle by powerful magnets","false","1","5000","495514142","false","1600257650","Wed, 16 Sep 2020 12:00:50 +0000","https://www.kickstarter.com/projects/zesh/neos-magnetic-vehicle-phone-holder-0?ref=discovery_newest","2450022","Miami, FL","NEOS Magnetic Vehicle Phone Holder",,"17033","Wed, 16 Sep 2020 12:00:50 +0000","neos-magnetic-vehicle-phone-holder-0","true","false","successful","1602849650","1","NEOS Magnetic Vehicle Phone Holder","https://www.kickstarter.com/projects/zesh/neos-magnetic-vehicle-phone-holder-0?ref=discovery_newest","1","17033.0","international"
"51","Eliminate tangled wires with Bibicord. Optional built in battery. Prongs snap flat too. Easy to keep clean and carry.","337","Gadgets","technology/gadgets","6292","US","the United States","1587059624","Thu, 16 Apr 2020 17:53:44 +0000","https://ksr-ugc.imgix.net/assets/028/753/401/b974e003822abd08cb23cc7ca993a0af_original.jpeg?ixlib=rb-4.0.2&w=160&h=160&fit=crop&v=1587068234&auto=format&frame=1&q=92&s=427d243ceb2927852760dc0fe96b66e2","307055418","Joanne Loewen","https://www.kickstarter.com/profile/bibicharger","USD","$","true","USD","1604054615","Eliminate tangled wires with Bibicord. Optional built in battery. Prongs snap flat too. Easy to keep clean and carry.","false","1","5000","1752904982","false","1600166615","Tue, 15 Sep 2020 10:43:35 +0000","https://www.kickstarter.com/projects/bibicharger/bibipowerbank-wall-charger-powerbank-all-in-one?ref=discovery_newest","2503863","Tampa, FL","BibiPowerbank: Retractable Wall Charger + Powerbank in One",,"6292","Tue, 15 Sep 2020 10:43:35 +0000","bibipowerbank-wall-charger-powerbank-all-in-one","true","false","successful","1604054615","1","BibiPowerbank: Retractable Wall Charger + Powerbank in One","https://www.kickstarter.com/projects/bibicharger/bibipowerbank-wall-charger-powerbank-all-in-one?ref=discovery_newest","1","6292.0","international"
